,team,year,month,pov
869,5,2019,10,0.583
877,5,2020,5,0.417
887,5,2020,6,0.64
897,5,2020,7,0.542
907,5,2020,8,0.538
917,5,2020,9,0.5
927,5,2020,10,0.389
934,5,2020,11,0.0
943,5,2021,3,0.5
953,5,2021,4,0.542
963,5,2021,5,0.478
973,5,2021,6,0.5
983,5,2021,7,0.571
993,5,2021,8,0.625
1003,5,2021,9,0.571
1013,5,2021,10,0.5
1018,5,2021,11,1.0
1028,5,2022,3,0.385
1038,5,2022,4,0.6
1048,5,2022,5,0.538
1058,5,2022,6,0.571
465,5,2015,3,0.545
475,5,2015,4,0.522
485,5,2015,5,0.538
495,5,2015,6,0.476
506,5,2015,7,0.45
517,5,2015,8,0.44
527,5,2015,9,0.522
537,5,2015,10,0.5
547,5,2016,3,0.267
558,5,2016,4,0.435
567,5,2016,5,0.52
578,5,2016,6,0.52
589,5,2016,7,0.571
600,5,2016,8,0.478
610,5,2016,9,0.476
619,5,2016,10,0.333
631,5,2017,3,0.5
642,5,2017,4,0.4
652,5,2017,5,0.583
661,5,2017,6,0.56
673,5,2017,7,0.455
684,5,2017,8,0.5
693,5,2017,9,0.389
704,5,2017,10,1.0
714,5,2018,3,0.538
723,5,2018,4,0.36
734,5,2018,5,0.44
743,5,2018,6,0.4
754,5,2018,7,0.478
765,5,2018,8,0.692
775,5,2018,9,0.652
785,5,2018,10,0.583
792,5,2018,11,0.0
942,6,2021,3,0.5
952,6,2021,4,0.565
962,6,2021,5,0.591
972,6,2021,6,0.478
982,6,2021,7,0.2
992,6,2021,8,0.308
1002,6,2021,9,0.545
1012,6,2021,10,0.412
1027,6,2022,3,0.455
1037,6,2022,4,0.75
1047,6,2022,5,0.56
1057,6,2022,6,0.375
467,6,2015,3,0.636
477,6,2015,4,0.409
487,6,2015,5,0.5
497,6,2015,6,0.455
508,6,2015,7,0.611
519,6,2015,8,0.56
529,6,2015,9,0.615
539,6,2015,10,0.25
549,6,2016,3,0.429
559,6,2016,4,0.6
569,6,2016,5,0.417
579,6,2016,6,0.462
590,6,2016,7,0.591
601,6,2016,8,0.48
611,6,2016,9,0.368
621,6,2016,10,0.667
633,6,2017,3,0.455
643,6,2017,4,0.52
653,6,2017,5,0.5
663,6,2017,6,0.615
674,6,2017,7,0.478
685,6,2017,8,0.64
695,6,2017,9,0.556
705,6,2017,10,1.0
715,6,2018,3,0.75
725,6,2018,4,0.696
735,6,2018,5,0.478
745,6,2018,6,0.609
756,6,2018,7,0.5
767,6,2018,8,0.462
777,6,2018,9,0.417
787,6,2018,10,0.167
790,6,2018,11,0.714
800,6,2019,3,0.733
810,6,2019,4,0.682
820,6,2019,5,0.577
830,6,2019,6,0.64
841,6,2019,7,0.684
852,6,2019,8,0.52
862,6,2019,9,0.444
870,6,2019,10,0.0
878,6,2020,5,0.435
888,6,2020,6,0.32
898,6,2020,7,0.458
908,6,2020,8,0.217
918,6,2020,9,0.5
928,6,2020,10,0.545
462,7,2015,3,0.615
472,7,2015,4,0.409
482,7,2015,5,0.68
492,7,2015,6,0.545
502,7,2015,7,0.421
514,7,2015,8,0.792
524,7,2015,9,0.375
534,7,2015,10,0.375
544,7,2016,3,0.438
554,7,2016,4,0.565
564,7,2016,5,0.409
574,7,2016,6,0.545
584,7,2016,7,0.55
596,7,2016,8,0.609
606,7,2016,9,0.458
616,7,2016,10,0.462
624,7,2016,11,0.0
628,7,2017,3,0.556
638,7,2017,4,0.708
648,7,2017,5,0.44
658,7,2017,6,0.68
668,7,2017,7,0.45
680,7,2017,8,0.37
690,7,2017,9,0.632
700,7,2017,10,0.5
710,7,2018,3,0.462
720,7,2018,4,0.333
730,7,2018,5,0.56
740,7,2018,6,0.36
750,7,2018,7,0.571
762,7,2018,8,0.462
772,7,2018,9,0.304
782,7,2018,10,0.8
795,7,2019,3,0.667
805,7,2019,4,0.545
815,7,2019,5,0.423
825,7,2019,6,0.417
835,7,2019,7,0.611
847,7,2019,8,0.417
857,7,2019,9,0.632
867,7,2019,10,0.0
873,7,2020,5,0.565
883,7,2020,6,0.625
893,7,2020,7,0.6
903,7,2020,8,0.478
913,7,2020,9,0.56
923,7,2020,10,0.435
932,7,2020,11,0.667
938,7,2021,3,0.2
948,7,2021,4,0.478
958,7,2021,5,0.682
968,7,2021,6,0.636
978,7,2021,7,0.2
988,7,2021,8,0.462
998,7,2021,9,0.357
1008,7,2021,10,0.636
1023,7,2022,3,0.417
1033,7,2022,4,0.32
1043,7,2022,5,0.346
1053,7,2022,6,0.714
461,8,2015,3,0.467
471,8,2015,4,0.318
481,8,2015,5,0.519
491,8,2015,6,0.429
501,8,2015,7,0.5
513,8,2015,8,0.478
523,8,2015,9,0.455
533,8,2015,10,0.667
543,8,2016,3,0.357
553,8,2016,4,0.48
563,8,2016,5,0.542
573,8,2016,6,0.36
583,8,2016,7,0.45
595,8,2016,8,0.522
605,8,2016,9,0.524
615,8,2016,10,0.5
627,8,2017,3,0.3
637,8,2017,4,0.44
647,8,2017,5,0.5
657,8,2017,6,0.542
667,8,2017,7,0.571
679,8,2017,8,0.704
689,8,2017,9,0.684
699,8,2017,10,0.667
709,8,2018,3,0.25
719,8,2018,4,0.591
729,8,2018,5,0.583
739,8,2018,6,0.391
749,8,2018,7,0.143
761,8,2018,8,0.636
771,8,2018,9,0.591
781,8,2018,10,0.583
794,8,2019,3,0.562
804,8,2019,4,0.364
814,8,2019,5,0.333
824,8,2019,6,0.455
834,8,2019,7,0.222
846,8,2019,8,0.417
856,8,2019,9,0.211
866,8,2019,10,0.0
872,8,2020,5,0.522
882,8,2020,6,0.522
892,8,2020,7,0.409
902,8,2020,8,0.727
912,8,2020,9,0.407
922,8,2020,10,0.423
937,8,2021,3,0.5
947,8,2021,4,0.391
957,8,2021,5,0.286
967,8,2021,6,0.5
977,8,2021,7,0.571
987,8,2021,8,0.643
997,8,2021,9,0.615
1007,8,2021,10,0.579
1022,8,2022,3,0.636
1032,8,2022,4,0.609
1042,8,2022,5,0.462
1052,8,2022,6,0.429
464,9,2015,3,0.615
474,9,2015,4,0.522
486,9,2015,5,0.36
494,9,2015,6,0.6
507,9,2015,7,0.591
518,9,2015,8,0.5
528,9,2015,9,0.522
538,9,2015,10,0.2
548,9,2016,3,0.5
556,9,2016,4,0.318
568,9,2016,5,0.625
577,9,2016,6,0.56
588,9,2016,7,0.522
598,9,2016,8,0.417
608,9,2016,9,0.5
618,9,2016,10,0.571
632,9,2017,3,0.583
640,9,2017,4,0.68
651,9,2017,5,0.538
660,9,2017,6,0.333
671,9,2017,7,0.5
683,9,2017,8,0.476
694,9,2017,9,0.478
702,9,2017,10,0.625
713,9,2018,3,0.583
722,9,2018,4,0.476
732,9,2018,5,0.462
744,9,2018,6,0.455
753,9,2018,7,0.273
766,9,2018,8,0.333
774,9,2018,9,0.522
784,9,2018,10,0.5
797,9,2019,3,0.538
807,9,2019,4,0.619
817,9,2019,5,0.519
828,9,2019,6,0.32
838,9,2019,7,0.562
849,9,2019,8,0.48
860,9,2019,9,0.55
876,9,2020,5,0.542
886,9,2020,6,0.619
895,9,2020,7,0.478
905,9,2020,8,0.52
916,9,2020,9,0.542
925,9,2020,10,0.519
940,9,2021,3,0.571
950,9,2021,4,0.522
961,9,2021,5,0.455
971,9,2021,6,0.304
980,9,2021,7,0.833
990,9,2021,8,0.6
1000,9,2021,9,0.385
1011,9,2021,10,0.708
1025,9,2022,3,0.636
1036,9,2022,4,0.375
1046,9,2022,5,0.615
1055,9,2022,6,0.714
463,10,2015,3,0.429
473,10,2015,4,0.636
483,10,2015,5,0.481
493,10,2015,6,0.636
503,10,2015,7,0.45
515,10,2015,8,0.28
525,10,2015,9,0.565
535,10,2015,10,0.333
545,10,2016,3,0.438
555,10,2016,4,0.348
565,10,2016,5,0.5
575,10,2016,6,0.652
585,10,2016,7,0.45
597,10,2016,8,0.625
607,10,2016,9,0.478
617,10,2016,10,0.5
629,10,2017,3,0.727
639,10,2017,4,0.48
649,10,2017,5,0.52
659,10,2017,6,0.292
669,10,2017,7,0.45
681,10,2017,8,0.478
691,10,2017,9,0.522
701,10,2017,10,0.0
711,10,2018,3,0.385
721,10,2018,4,0.455
731,10,2018,5,0.6
741,10,2018,6,0.615
751,10,2018,7,0.5
763,10,2018,8,0.583
773,10,2018,9,0.625
783,10,2018,10,0.2
796,10,2019,3,0.438
806,10,2019,4,0.429
816,10,2019,5,0.407
826,10,2019,6,0.375
836,10,2019,7,0.316
848,10,2019,8,0.583
858,10,2019,9,0.571
874,10,2020,5,0.375
884,10,2020,6,0.417
894,10,2020,7,0.292
904,10,2020,8,0.429
914,10,2020,9,0.44
924,10,2020,10,0.391
939,10,2021,3,0.857
949,10,2021,4,0.304
959,10,2021,5,0.391
969,10,2021,6,0.36
979,10,2021,7,0.5
989,10,2021,8,0.571
999,10,2021,9,0.286
1009,10,2021,10,0.278
1024,10,2022,3,0.5
1034,10,2022,4,0.36
1044,10,2022,5,0.577
1054,10,2022,6,0.375
